title,vote_average,adult,genres,spoken_languages
Inception,8.364,False,"Action, Science Fiction, Adventure","English, French, Japanese, Swahili"
Interstellar,8.417,False,"Adventure, Drama, Science Fiction",English
The Dark Knight,8.512,False,"Drama, Action, Crime, Thriller","English, Mandarin"
Avatar,7.573,False,"Action, Adventure, Fantasy, Science Fiction","English, Spanish"
The Avengers,7.71,False,"Science Fiction, Action, Adventure","English, Hindi, Russian"
Deadpool,7.606,False,"Action, Adventure, Comedy",English
Avengers: Infinity War,8.255,False,"Adventure, Action, Science Fiction","English, Xhosa"
Fight Club,8.438,False,Drama,English
Guardians of the Galaxy,7.906,False,"Action, Science Fiction, Adventure",English
Pulp Fiction,8.488,False,"Thriller, Crime","English, Spanish, French"
Forrest Gump,8.477,False,"Comedy, Drama, Romance",English
Harry Potter and the Philosopher's Stone,7.916,False,"Adventure, Fantasy",English
Iron Man,7.64,False,"Action, Science Fiction, Adventure","English, Persian, Urdu, Arabic"
Django Unchained,8.171,False,"Drama, Western","English, French, German"
The Shawshank Redemption,8.702,False,"Drama, Crime",English
Avengers: Endgame,8.263,False,"Adventure, Science Fiction, Action","English, Japanese, Xhosa"
The Matrix,8.206,False,"Action, Science Fiction",English
Titanic,7.9,False,"Drama, Romance","English, French, German, Swedish, Italian, Russian"
Joker,8.168,False,"Crime, Thriller, Drama",English
The Lord of the Rings: The Fellowship of the Ring,8.402,False,"Adventure, Fantasy, Action",English
The Lord of the Rings: The Return of the King,8.474,False,"Adventure, Fantasy, Action",English
Shutter Island,8.2,False,"Drama, Thriller, Mystery","English, German"
The Wolf of Wall Street,8.035,False,"Crime, Drama, Comedy","English, French"
Avengers: Age of Ultron,7.276,False,"Action, Adventure, Science Fiction",English
Captain America: Civil War,7.4,False,"Adventure, Action, Science Fiction","Romanian, English, German, Russian"
The Dark Knight Rises,7.777,False,"Action, Crime, Drama, Thriller",English
Iron Man 3,6.928,False,"Action, Adventure, Science Fiction",English
Black Panther,7.39,False,"Action, Adventure, Science Fiction","English, Korean, Swahili, Xhosa"
Doctor Strange,7.427,False,"Action, Adventure, Fantasy",English
Mad Max: Fury Road,7.582,False,"Action, Adventure, Science Fiction",English
Inglourious Basterds,8.215,False,"Drama, Thriller, War","German, English, French, Italian"
The Hunger Games,7.193,False,"Science Fiction, Adventure, Fantasy",English
Spider-Man: Homecoming,7.345,False,"Action, Adventure, Science Fiction, Drama",English
Harry Potter and the Chamber of Secrets,7.721,False,"Adventure, Fantasy",English
Guardians of the Galaxy Vol. 2,7.624,False,"Science Fiction, Adventure, Action",English
The Lord of the Rings: The Two Towers,8.385,False,"Adventure, Fantasy, Action",English
